@relation 'demo3_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M1'

@attribute 0.321V5+0.318V0+0.317V2+0.317V1+0.316V4... numeric
@attribute CLASS {0,1}

@data
-3.427123,0
-2.984292,0
-2.306955,0
-2.919613,0
-2.67765,0
-3.009499,0
-2.873764,0
-3.227497,0
-2.892542,0
-3.094872,0
-3.178001,0
-3.252424,0
-3.142977,0
-2.531265,0
-2.685748,0
-2.421052,0
-2.328378,0
-2.653121,0
-3.762819,0
-3.304681,0
-2.910011,0
-2.611419,0
-2.552455,0
-3.095138,0
-3.26135,0
-2.880906,0
-2.861671,0
-2.936506,0
-3.345262,0
-3.439267,0
-3.062242,0
-2.983203,0
-2.774281,0
-2.456965,0
-3.098775,0
-2.952537,0
-3.158923,0
-2.938891,0
-2.918688,0
-3.224392,0
-3.182444,0
-2.783095,0
-2.593433,0
-3.175515,0
-2.844447,0
-2.768069,0
-3.472385,0
-2.348772,0
-2.887655,0
-2.926846,0
2.657377,1
3.13458,1
3.354126,1
2.378091,1
2.623198,1
2.986378,1
2.52974,1
2.883359,1
2.794511,1
3.216648,1
2.732027,1
3.265781,1
3.059733,1
3.283501,1
3.141872,1
2.540326,1
2.953315,1
2.839671,1
3.31789,1
2.346741,1
2.903315,1
2.755957,1
2.89125,1
3.374703,1
2.761292,1
3.189987,1
3.267402,1
3.343535,1
3.063285,1
3.910603,1
3.107801,1
2.84915,1
2.966295,1
2.663121,1
2.545111,1
2.635699,1
3.092137,1
2.236134,1
2.414903,1
3.28057,1
3.067758,1
3.524126,1
3.4351,1
2.910597,1
2.259651,1
3.025399,1
2.559805,1
3.56784,1
2.536095,1
2.942333,1
