@relation 'demo3_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A100-M2'

@attribute 0.321V5+0.318V0+0.317V2+0.317V1+0.316V4+0.316V8+0.316V6+0.315V7+0.314V9+0.312V3 numeric
@attribute 0.598V3-0.497V6+0.421V8-0.302V2-0.244V4+0.196V9-0.14V0-0.08V1+0.047V5+0.011V7 numeric
@attribute CLASS {0,1}

@data
-3.427123,0.05232,0
-2.984292,0.261548,0
-2.306955,-0.954773,0
-2.919613,-0.98346,0
-2.67765,0.365634,0
-3.009499,0.174691,0
-2.873764,0.337552,0
-3.227497,-0.794058,0
-2.892542,0.640754,0
-3.094872,-0.405117,0
-3.178001,-0.583701,0
-3.252424,0.158045,0
-3.142977,-0.783346,0
-2.531265,-0.376742,0
-2.685748,0.708322,0
-2.421052,0.469645,0
-2.328378,-0.196822,0
-2.653121,-0.110044,0
-3.762819,-0.106674,0
-3.304681,0.773112,0
-2.910011,-0.364306,0
-2.611419,-0.016997,0
-2.552455,0.404001,0
-3.095138,0.185277,0
-3.26135,-0.179029,0
-2.880906,-0.671443,0
-2.861671,0.326309,0
-2.936506,0.149477,0
-3.345262,0.371378,0
-3.439267,0.598282,0
-3.062242,0.709369,0
-2.983203,0.277736,0
-2.774281,-0.267187,0
-2.456965,0.409003,0
-3.098775,-0.724614,0
-2.952537,0.211594,0
-3.158923,0.094177,0
-2.938891,0.190111,0
-2.918688,0.062389,0
-3.224392,0.283698,0
-3.182444,-1.080027,0
-2.783095,0.055366,0
-2.593433,0.148178,0
-3.175515,-0.279571,0
-2.844447,-0.047572,0
-2.768069,-0.150105,0
-3.472385,-0.105615,0
-2.348772,0.694184,0
-2.887655,0.625176,0
-2.926846,-0.243256,0
2.657377,-0.260816,1
3.13458,-0.223792,1
3.354126,-0.443462,1
2.378091,0.114647,1
2.623198,-0.53022,1
2.986378,-0.140402,1
2.52974,0.044917,1
2.883359,-0.305579,1
2.794511,-0.255137,1
3.216648,-0.071111,1
2.732027,0.551033,1
3.265781,0.326953,1
3.059733,-0.396489,1
3.283501,0.612285,1
3.141872,0.182566,1
2.540326,0.49508,1
2.953315,0.633974,1
2.839671,-0.172195,1
3.31789,-0.07072,1
2.346741,-0.108396,1
2.903315,-0.272367,1
2.755957,-0.143228,1
2.89125,-0.448608,1
3.374703,0.215722,1
2.761292,0.089763,1
3.189987,-0.224976,1
3.267402,0.04171,1
3.343535,-0.325599,1
3.063285,0.141402,1
3.910603,0.173797,1
3.107801,0.024871,1
2.84915,-0.327681,1
2.966295,0.656623,1
2.663121,0.106415,1
2.545111,0.541188,1
2.635699,-0.749408,1
3.092137,0.529949,1
2.236134,-0.596029,1
2.414903,-0.590716,1
3.28057,0.225371,1
3.067758,0.668542,1
3.524126,-0.016242,1
3.4351,-0.090047,1
2.910597,-0.122886,1
2.259651,0.018628,1
3.025399,0.383,1
2.559805,0.423865,1
3.56784,0.215123,1
2.536095,-0.392489,1
2.942333,-0.4517,1
