@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N2-R3424-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute CLASS {0,1}

@data
6.58789,8.700925,0
8.367681,9.683181,0
10.846723,8.861175,0
11.363812,7.748917,0
12.696716,9.149988,0
2.2774,9.067206,0
13.25974,1.744068,0
3.973536,10.048346,0
8.24743,9.633225,0
3.438241,10.35467,0
8.08349,8.708527,0
11.94574,5.681285,0
6.509691,7.74646,0
6.950082,15.98384,0
15.398228,1.023792,0
14.349579,13.188751,0
11.129709,17.617321,0
9.942901,10.286668,0
10.299088,-0.061626,0
10.096053,7.094555,0
13.720832,2.001021,0
14.227081,3.387494,0
9.335068,11.717956,0
5.415209,10.618595,0
7.961407,9.331805,0
12.900964,4.95263,0
17.746037,3.031202,0
12.769941,5.117676,0
7.014298,6.844447,0
15.52178,3.687037,0
12.813063,3.21981,0
11.251285,12.526066,0
9.537837,11.018091,0
15.772462,3.043308,0
11.655239,5.132466,0
17.956291,1.814486,0
8.464858,1.305603,0
11.749855,10.748424,0
10.610538,8.369644,0
8.525431,1.572153,0
6.268339,9.650953,0
8.286203,5.02284,0
16.283405,4.745763,0
5.667112,11.709733,0
8.871242,12.916519,0
9.034489,8.624008,0
9.080314,7.961734,0
14.742009,6.514882,0
12.129852,4.408037,0
9.359105,3.214224,0
34.513756,32.807837,1
41.317003,34.786231,1
34.681645,35.015715,1
38.108079,23.279178,1
42.31521,22.728007,1
43.831939,24.863797,1
41.580395,26.343389,1
43.429013,28.918851,1
39.808638,30.872215,1
38.191711,33.755134,1
40.4447,32.118137,1
44.294632,22.519776,1
40.459079,29.495779,1
41.874034,28.764941,1
41.027138,33.039969,1
36.855861,29.578665,1
41.329421,24.250169,1
38.721246,23.743346,1
44.704639,28.218768,1
35.992076,33.310868,1
35.924371,30.196212,1
40.800827,24.570713,1
41.996187,26.405717,1
45.166626,21.790728,1
39.289006,25.179199,1
43.676855,27.60279,1
48.510757,23.993167,1
45.382963,22.826367,1
44.439013,23.743662,1
47.695852,32.376556,1
41.207274,30.535115,1
38.806069,28.347245,1
45.051914,24.530449,1
36.004161,32.546256,1
42.611009,25.435617,1
39.410768,32.239804,1
43.17766,25.866449,1
39.576712,25.537172,1
32.221158,34.696242,1
40.0091,30.407805,1
42.775934,28.575235,1
47.784704,30.271538,1
47.75986,26.546802,1
39.449534,31.103107,1
39.949663,25.662855,1
39.695437,27.467203,1
35.467457,28.486716,1
43.11705,34.464088,1
37.696936,31.657532,1
39.790367,35.004263,1
