@relation 'demo3_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M1'

@attribute 0.707V1+0.707V0 numeric
@attribute CLASS {0,1}

@data
-0.953048,0
-1.789075,0
-1.018728,0
-1.371466,0
-1.157248,0
-1.757342,0
-1.417973,0
-1.633252,0
-1.392808,0
-1.043647,0
-0.675114,0
-1.586801,0
-0.841256,0
-1.412296,0
-1.456233,0
-0.947254,0
-1.170871,0
-1.554772,0
-1.835267,0
-1.162448,0
-1.85192,0
-0.81105,0
-1.201247,0
-0.979718,0
-1.587546,0
-1.313764,0
-1.211885,0
-0.98293,0
-1.413561,0
-1.401765,0
-1.101063,0
-1.188864,0
-1.305982,0
-2.060923,0
-1.139366,0
-1.219236,0
-1.195886,0
-1.114625,0
-1.353364,0
-1.257604,0
-1.058864,0
-1.734065,0
-1.174815,0
-1.265308,0
-1.160135,0
-1.443409,0
-1.382459,0
-1.376479,0
-1.75321,0
-1.442396,0
1.18696,1
1.626621,1
1.250056,1
1.76776,1
1.758371,1
1.468335,1
1.477689,1
1.467715,1
1.39254,1
1.697292,1
1.082614,1
0.88783,1
1.308641,1
0.928289,1
0.474032,1
0.596439,1
1.43818,1
1.301735,1
0.546544,1
1.103649,1
1.821561,1
0.988146,1
1.909175,1
1.371679,1
1.073153,1
1.411501,1
1.845198,1
1.451131,1
1.958107,1
1.240292,1
1.026363,1
1.450596,1
1.010294,1
1.753934,1
1.620044,1
1.885412,1
1.219293,1
1.988347,1
2.01264,1
1.07331,1
0.977276,1
1.486853,1
0.941818,1
0.627966,1
1.23365,1
1.217579,1
1.151206,1
1.037243,1
1.309406,1
0.805871,1
