@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R42234-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
3.149389,0
3.531074,0
6.744724,0
-0.054609,0
2.847696,0
4.151416,0
1.67654,0
-0.711339,0
8.878641,0
3.028522,0
7.146585,0
2.441059,0
7.742303,0
6.977065,0
-0.886063,0
5.490969,0
3.745345,0
0.368683,0
1.917134,0
5.371735,0
1.059564,0
7.015751,0
8.215807,0
9.326812,0
-0.263201,0
-1.185085,0
1.098759,0
8.32441,0
7.484622,0
7.12497,0
5.754554,0
-0.204184,0
2.365059,0
0.332158,0
1.424061,0
3.904817,0
1.997061,0
1.551801,0
9.331153,0
2.296302,0
9.026867,0
2.006356,0
1.063408,0
9.129909,0
5.096272,0
7.102497,0
6.594101,0
2.929478,0
-0.429072,0
1.154957,0
15.073383,1
17.628395,1
15.395333,1
19.798501,1
20.637303,1
20.713052,1
16.165158,1
20.716094,1
15.742923,1
21.234328,1
21.404289,1
19.215766,1
15.64678,1
19.069191,1
13.173037,1
15.448543,1
22.229913,1
20.243376,1
14.945104,1
18.854684,1
21.096191,1
15.549511,1
20.077094,1
18.000295,1
12.417931,1
19.144781,1
21.191309,1
18.759638,1
21.231837,1
16.164413,1
12.778072,1
14.622466,1
18.946561,1
18.645355,1
22.105019,1
20.908207,1
15.86656,1
22.115701,1
21.831264,1
15.778105,1
13.668272,1
20.690043,1
17.56723,1
14.640801,1
22.18203,1
16.347416,1
22.419382,1
13.199558,1
17.73926,1
15.133253,1
